abundance,year,latitude,longitude,genus,species,genus_species,region,mean_summer_sst_degC
4,2001,22.5,120.5,Atrobucca,nibe,Atrobucca_nibe,Tropical,29.082668304443366
1,2003,23.5,119.5,Bathycongrus,retrotinctus,Bathycongrus_retrotinctus,Tropical,27.9170010884603
25,2001,22.5,120.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,29.082668304443366
1,2001,22.5,120.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,29.082668304443366
1,2001,22.5,120.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,29.082668304443366
25,2001,22.5,120.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,29.082668304443366
3,2001,22.5,120.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,29.082668304443366
36,2001,22.5,120.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,29.082668304443366
4,2003,23.5,119.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,27.9170010884603
1,2003,23.5,119.5,Bathymyrus,simus,Bathymyrus_simus,Tropical,27.9170010884603
163,2001,22.5,120.5,Benthosema,pterotum,Benthosema_pterotum,Tropical,29.082668304443366
1250,2001,22.5,120.5,Benthosema,pterotum,Benthosema_pterotum,Tropical,29.082668304443366
200,2001,22.5,120.5,Benthosema,pterotum,Benthosema_pterotum,Tropical,29.082668304443366
105,2003,23.5,119.5,Bleekeria,mitsukurii,Bleekeria_mitsukurii,Tropical,27.9170010884603
3,2003,23.5,119.5,Bleekeria,mitsukurii,Bleekeria_mitsukurii,Tropical,27.9170010884603
30,2003,23.5,119.5,Bleekeria,mitsukurii,Bleekeria_mitsukurii,Tropical,27.9170010884603
3,2003,23.5,119.5,Bleekeria,mitsukurii,Bleekeria_mitsukurii,Tropical,27.9170010884603
2,2003,23.5,119.5,Bleekeria,mitsukurii,Bleekeria_mitsukurii,Tropical,27.9170010884603
6,2003,23.5,119.5,Bleekeria,mitsukurii,Bleekeria_mitsukurii,Tropical,27.9170010884603
4,2003,23.5,119.5,Bleekeria,mitsukurii,Bleekeria_mitsukurii,Tropical,27.9170010884603
1,2003,23.5,119.5,Bothus,myriaster,Bothus_myriaster,Tropical,27.9170010884603
1,2001,22.5,120.5,Branchiostegus,auratus,Branchiostegus_auratus,Tropical,29.082668304443366
5,2001,22.5,120.5,Bregmaceros,japonicus,Bregmaceros_japonicus,Tropical,29.082668304443366
274,2001,22.5,120.5,Bregmaceros,japonicus,Bregmaceros_japonicus,Tropical,29.082668304443366
2,2001,22.5,120.5,Bregmaceros,japonicus,Bregmaceros_japonicus,Tropical,29.082668304443366
60,2001,22.5,120.5,Bregmaceros,japonicus,Bregmaceros_japonicus,Tropical,29.082668304443366
1,2003,23.5,119.5,Bregmaceros,japonicus,Bregmaceros_japonicus,Tropical,27.9170010884603
1,2003,23.5,119.5,Bregmaceros,japonicus,Bregmaceros_japonicus,Tropical,27.9170010884603
4,2003,23.5,119.5,Callionymus,huguenini,Callionymus_huguenini,Tropical,27.9170010884603
4,2003,23.5,119.5,Callionymus,huguenini,Callionymus_huguenini,Tropical,27.9170010884603
8,2003,23.5,119.5,Carangoides,equula,Carangoides_equula,Tropical,27.9170010884603
36,2003,23.5,119.5,Carangoides,equula,Carangoides_equula,Tropical,27.9170010884603
1,2003,23.5,119.5,Caranx,sexfasciatus,Caranx_sexfasciatus,Tropical,27.9170010884603
1,2001,22.5,120.5,Champsodon,guentheri,Champsodon_guentheri,Tropical,29.082668304443366
2,2003,23.5,119.5,Champsodon,snyderi,Champsodon_snyderi,Tropical,27.9170010884603
1,2003,23.5,119.5,Champsodon,snyderi,Champsodon_snyderi,Tropical,27.9170010884603
1,2001,22.5,120.5,Chascanopsetta,lugubris,Chascanopsetta_lugubris,Tropical,29.082668304443366
12,2001,22.5,120.5,Chascanopsetta,lugubris,Chascanopsetta_lugubris,Tropical,29.082668304443366
1,2001,22.5,120.5,Chascanopsetta,lugubris,Chascanopsetta_lugubris,Tropical,29.082668304443366
2,2001,22.5,120.5,Chascanopsetta,lugubris,Chascanopsetta_lugubris,Tropical,29.082668304443366
3,2003,23.5,119.5,Chiloscyllium,plagiosum,Chiloscyllium_plagiosum,Tropical,27.9170010884603
1,2001,22.5,120.5,Chlorophthalmus,nigromarginatus,Chlorophthalmus_nigromarginatus,Tropical,29.082668304443366
31,2001,22.5,120.5,Chlorophthalmus,nigromarginatus,Chlorophthalmus_nigromarginatus,Tropical,29.082668304443366
7,2001,22.5,120.5,Cirrhoscyllium,expolitum,Cirrhoscyllium_expolitum,Tropical,29.082668304443366
1,2001,22.5,120.5,Coelorinchus,formosanus,Coelorinchus_formosanus,Tropical,29.082668304443366
1,2001,22.5,120.5,Coelorinchus,kishinouyei,Coelorinchus_kishinouyei,Tropical,29.082668304443366
1,2001,22.5,120.5,Conger,japonicus,Conger_japonicus,Tropical,29.082668304443366
1,2003,23.5,119.5,Cookeolus,japonicus,Cookeolus_japonicus,Tropical,27.9170010884603
1,2003,23.5,119.5,Crossorhombus,kanekonis,Crossorhombus_kanekonis,Tropical,27.9170010884603
1,2001,22.5,120.5,Cubiceps,whiteleggii,Cubiceps_whiteleggii,Tropical,29.082668304443366
4,2001,22.5,120.5,Cubiceps,whiteleggii,Cubiceps_whiteleggii,Tropical,29.082668304443366
2,2003,23.5,119.5,Cynoglossus,itinus,Cynoglossus_itinus,Tropical,27.9170010884603
1,2003,23.5,119.5,Cynoglossus,itinus,Cynoglossus_itinus,Tropical,27.9170010884603
2,2003,23.5,119.5,Cynoglossus,itinus,Cynoglossus_itinus,Tropical,27.9170010884603
1,2003,23.5,119.5,Cynoglossus,itinus,Cynoglossus_itinus,Tropical,27.9170010884603
1,2003,23.5,119.5,Dactyloptena,peterseni,Dactyloptena_peterseni,Tropical,27.9170010884603
1,2001,22.5,120.5,Dasyatis,akajei,Dasyatis_akajei,Tropical,29.082668304443366
1,2003,23.5,119.5,Decapterus,maruadsi,Decapterus_maruadsi,Tropical,27.9170010884603
2,2003,23.5,119.5,Decapterus,maruadsi,Decapterus_maruadsi,Tropical,27.9170010884603
1,2003,23.5,119.5,Dendrochirus,bellus,Dendrochirus_bellus,Tropical,27.9170010884603
50,2001,22.5,120.5,Diaphus,splendidus,Diaphus_splendidus,Tropical,29.082668304443366
147,2001,22.5,120.5,Diaphus,splendidus,Diaphus_splendidus,Tropical,29.082668304443366
95,2001,22.5,120.5,Diaphus,splendidus,Diaphus_splendidus,Tropical,29.082668304443366
1,2003,23.5,119.5,Diodon,holocanthus,Diodon_holocanthus,Tropical,27.9170010884603
1,2003,23.5,119.5,Diodon,holocanthus,Diodon_holocanthus,Tropical,27.9170010884603
4,2003,23.5,119.5,Diodon,holocanthus,Diodon_holocanthus,Tropical,27.9170010884603
1,2003,23.5,119.5,Diodon,holocanthus,Diodon_holocanthus,Tropical,27.9170010884603
4,2003,23.5,119.5,Engyprosopon,grandisquama,Engyprosopon_grandisquama,Tropical,27.9170010884603
1,2003,23.5,119.5,Engyprosopon,maldivensis,Engyprosopon_maldivensis,Tropical,27.9170010884603
6,2003,23.5,119.5,Engyprosopon,maldivensis,Engyprosopon_maldivensis,Tropical,27.9170010884603
13,2003,23.5,119.5,Engyprosopon,multisquama,Engyprosopon_multisquama,Tropical,27.9170010884603
7,2003,23.5,119.5,Engyprosopon,multisquama,Engyprosopon_multisquama,Tropical,27.9170010884603
7,2003,23.5,119.5,Engyprosopon,multisquama,Engyprosopon_multisquama,Tropical,27.9170010884603
3,2003,23.5,119.5,Equulites,lineolatus,Equulites_lineolatus,Tropical,27.9170010884603
42,2003,23.5,119.5,Equulites,lineolatus,Equulites_lineolatus,Tropical,27.9170010884603
50,2003,23.5,119.5,Equulites,lineolatus,Equulites_lineolatus,Tropical,27.9170010884603
1,2001,22.5,120.5,Eridacnis,radcliffei,Eridacnis_radcliffei,Tropical,29.082668304443366
1,2001,22.5,120.5,Erosa,erosa,Erosa_erosa,Tropical,29.082668304443366
1,2001,22.5,120.5,Etmopterus,splendidus,Etmopterus_splendidus,Tropical,29.082668304443366
2,2001,22.5,120.5,Etmopterus,splendidus,Etmopterus_splendidus,Tropical,29.082668304443366
110,2001,22.5,120.5,Eubleekeria,splendens,Eubleekeria_splendens,Tropical,29.082668304443366
129,2001,22.5,120.5,Eubleekeria,splendens,Eubleekeria_splendens,Tropical,29.082668304443366
65,2001,22.5,120.5,Eubleekeria,splendens,Eubleekeria_splendens,Tropical,29.082668304443366
9,2003,23.5,119.5,Eubleekeria,splendens,Eubleekeria_splendens,Tropical,27.9170010884603
8,2003,23.5,119.5,Evynnis,cardinalis,Evynnis_cardinalis,Tropical,27.9170010884603
1,2003,23.5,119.5,Evynnis,cardinalis,Evynnis_cardinalis,Tropical,27.9170010884603
1,2003,23.5,119.5,Evynnis,cardinalis,Evynnis_cardinalis,Tropical,27.9170010884603
6,2001,22.5,120.5,Evynnis,tumifrons,Evynnis_tumifrons,Tropical,29.082668304443366
1,2003,23.5,119.5,Evynnis,tumifrons,Evynnis_tumifrons,Tropical,27.9170010884603
2,2003,23.5,119.5,Fistularia,commersonii,Fistularia_commersonii,Tropical,27.9170010884603
1,2001,22.5,120.5,Gadella,jordani,Gadella_jordani,Tropical,29.082668304443366
60,2001,22.5,120.5,Galeus,sauteri,Galeus_sauteri,Tropical,29.082668304443366
98,2001,22.5,120.5,Galeus,sauteri,Galeus_sauteri,Tropical,29.082668304443366
14,2001,22.5,120.5,Galeus,sauteri,Galeus_sauteri,Tropical,29.082668304443366
56,2001,22.5,120.5,Galeus,sauteri,Galeus_sauteri,Tropical,29.082668304443366
17,2001,22.5,120.5,Gazza,minuta,Gazza_minuta,Tropical,29.082668304443366
106,2003,23.5,119.5,Gazza,minuta,Gazza_minuta,Tropical,27.9170010884603
178,2003,23.5,119.5,Gazza,minuta,Gazza_minuta,Tropical,27.9170010884603
52,2003,23.5,119.5,Gazza,minuta,Gazza_minuta,Tropical,27.9170010884603
2,2003,23.5,119.5,Gazza,minuta,Gazza_minuta,Tropical,27.9170010884603
10,2003,23.5,119.5,Gazza,minuta,Gazza_minuta,Tropical,27.9170010884603
4,2003,23.5,119.5,Gazza,minuta,Gazza_minuta,Tropical,27.9170010884603
5,2001,22.5,120.5,Gen,Sp,Gen_Sp,Tropical,29.082668304443366
5,2001,22.5,120.5,Gen,Sp,Gen_Sp,Tropical,29.082668304443366
32,2001,22.5,120.5,Gen,Sp,Gen_Sp,Tropical,29.082668304443366
2,2001,22.5,120.5,Gen,Sp,Gen_Sp,Tropical,29.082668304443366
1,2003,23.5,119.5,Gerres,oblongus,Gerres_oblongus,Tropical,27.9170010884603
1,2003,23.5,119.5,Glaucosoma,buergeri,Glaucosoma_buergeri,Tropical,27.9170010884603
1,2003,23.5,119.5,Glaucosoma,buergeri,Glaucosoma_buergeri,Tropical,27.9170010884603
3,2001,22.5,120.5,Gonorynchus,abbreviatus,Gonorynchus_abbreviatus,Tropical,29.082668304443366
2,2003,23.5,119.5,Gonorynchus,abbreviatus,Gonorynchus_abbreviatus,Tropical,27.9170010884603
1,2003,23.5,119.5,Gonorynchus,abbreviatus,Gonorynchus_abbreviatus,Tropical,27.9170010884603
1,2003,23.5,119.5,Gymnothorax,reticularis,Gymnothorax_reticularis,Tropical,27.9170010884603
1,2003,23.5,119.5,Gymnothorax,reticularis,Gymnothorax_reticularis,Tropical,27.9170010884603
1,2003,23.5,119.5,Halaelurus,buergeri,Halaelurus_buergeri,Tropical,27.9170010884603
1,2003,23.5,119.5,Halicampus,grayi,Halicampus_grayi,Tropical,27.9170010884603
1,2003,23.5,119.5,Halicampus,grayi,Halicampus_grayi,Tropical,27.9170010884603
1,2003,23.5,119.5,Halicampus,grayi,Halicampus_grayi,Tropical,27.9170010884603
1,2003,23.5,119.5,Halichoeres,scapularis,Halichoeres_scapularis,Tropical,27.9170010884603
34,2001,22.5,120.5,Harpadon,microchir,Harpadon_microchir,Tropical,29.082668304443366
57,2001,22.5,120.5,Harpadon,microchir,Harpadon_microchir,Tropical,29.082668304443366
1,2001,22.5,120.5,Harpadon,microchir,Harpadon_microchir,Tropical,29.082668304443366
9,2003,23.5,119.5,Heterodontus,zebra,Heterodontus_zebra,Tropical,27.9170010884603
1,2003,23.5,119.5,Heterodontus,zebra,Heterodontus_zebra,Tropical,27.9170010884603
1,2003,23.5,119.5,Heterodontus,zebra,Heterodontus_zebra,Tropical,27.9170010884603
1,2003,23.5,119.5,Hippocampus,trimaculatus,Hippocampus_trimaculatus,Tropical,27.9170010884603
15,2001,22.5,120.5,Hoplobrotula,armata,Hoplobrotula_armata,Tropical,29.082668304443366
4,2001,22.5,120.5,Hoplobrotula,armata,Hoplobrotula_armata,Tropical,29.082668304443366
6,2001,22.5,120.5,Hoplostethus,crassispinus,Hoplostethus_crassispinus,Tropical,29.082668304443366
6,2001,22.5,120.5,Japonolaeops,dentatus,Japonolaeops_dentatus,Tropical,29.082668304443366
3,2001,22.5,120.5,Laemonema,sp,Laemonema_sp,Tropical,29.082668304443366
1,2003,23.5,119.5,Lagocephalus,wheeleri,Lagocephalus_wheeleri,Tropical,27.9170010884603
15,2003,23.5,119.5,Lagocephalus,wheeleri,Lagocephalus_wheeleri,Tropical,27.9170010884603
1,2003,23.5,119.5,Lagocephalus,wheeleri,Lagocephalus_wheeleri,Tropical,27.9170010884603
289,2003,23.5,119.5,Leiognathus,berbis,Leiognathus_berbis,Tropical,27.9170010884603
705,2003,23.5,119.5,Leiognathus,berbis,Leiognathus_berbis,Tropical,27.9170010884603
9,2001,22.5,120.5,Leiognathus,equulus,Leiognathus_equulus,Tropical,29.082668304443366
2,2003,23.5,119.5,Lepidotrigla,guentheri,Lepidotrigla_guentheri,Tropical,27.9170010884603
1,2001,22.5,120.5,Lepidotrigla,japonica,Lepidotrigla_japonica,Tropical,29.082668304443366
3,2001,22.5,120.5,Lestrolepis,japonica,Lestrolepis_japonica,Tropical,29.082668304443366
2,2001,22.5,120.5,Lestrolepis,japonica,Lestrolepis_japonica,Tropical,29.082668304443366
6,2001,22.5,120.5,Lestrolepis,japonica,Lestrolepis_japonica,Tropical,29.082668304443366
1,2003,23.5,119.5,Liachirus,melanospilos,Liachirus_melanospilos,Tropical,27.9170010884603
1,2001,22.5,120.5,Lophius,litulon,Lophius_litulon,Tropical,29.082668304443366
1,2003,23.5,119.5,Mene,maculata,Mene_maculata,Tropical,27.9170010884603
1,2001,22.5,120.5,Miroscyllium,sheikoi,Miroscyllium_sheikoi,Tropical,29.082668304443366
1,2001,22.5,120.5,Monocentris,japonica,Monocentris_japonica,Tropical,29.082668304443366
1,2001,22.5,120.5,Narke,japonica,Narke_japonica,Tropical,29.082668304443366
5,2001,22.5,120.5,Nemichthys,scolopaceus,Nemichthys_scolopaceus,Tropical,29.082668304443366
2,2001,22.5,120.5,Nemichthys,scolopaceus,Nemichthys_scolopaceus,Tropical,29.082668304443366
21,2001,22.5,120.5,Nemichthys,scolopaceus,Nemichthys_scolopaceus,Tropical,29.082668304443366
76,2001,22.5,120.5,Nemipterus,japonicus,Nemipterus_japonicus,Tropical,29.082668304443366
12,2001,22.5,120.5,Nemipterus,japonicus,Nemipterus_japonicus,Tropical,29.082668304443366
1,2001,22.5,120.5,Nemipterus,japonicus,Nemipterus_japonicus,Tropical,29.082668304443366
1,2003,23.5,119.5,Nemipterus,japonicus,Nemipterus_japonicus,Tropical,27.9170010884603
2,2003,23.5,119.5,Nemipterus,peronii,Nemipterus_peronii,Tropical,27.9170010884603
1,2003,23.5,119.5,Nemipterus,peronii,Nemipterus_peronii,Tropical,27.9170010884603
7,2001,22.5,120.5,Nemipterus,thosaporni,Nemipterus_thosaporni,Tropical,29.082668304443366
3,2001,22.5,120.5,Neobythites,unimaculatus,Neobythites_unimaculatus,Tropical,29.082668304443366
3,2001,22.5,120.5,Neobythites,unimaculatus,Neobythites_unimaculatus,Tropical,29.082668304443366
5,2001,22.5,120.5,Neobythites,unimaculatus,Neobythites_unimaculatus,Tropical,29.082668304443366
1,2001,22.5,120.5,Neomerinthe,procurva,Neomerinthe_procurva,Tropical,29.082668304443366
1,2003,23.5,119.5,Neotrygon,kuhlii,Neotrygon_kuhlii,Tropical,27.9170010884603
3,2003,23.5,119.5,Neotrygon,kuhlii,Neotrygon_kuhlii,Tropical,27.9170010884603
1,2003,23.5,119.5,Neotrygon,kuhlii,Neotrygon_kuhlii,Tropical,27.9170010884603
1,2003,23.5,119.5,Neotrygon,kuhlii,Neotrygon_kuhlii,Tropical,27.9170010884603
4,2001,22.5,120.5,Nuchequula,nuchalis,Nuchequula_nuchalis,Tropical,29.082668304443366
1,2003,23.5,119.5,Okamejei,acutispina,Okamejei_acutispina,Tropical,27.9170010884603
1,2001,22.5,120.5,Onigocia,spinosa,Onigocia_spinosa,Tropical,29.082668304443366
5,2001,22.5,120.5,Onigocia,spinosa,Onigocia_spinosa,Tropical,29.082668304443366
1,2003,23.5,119.5,Onigocia,spinosa,Onigocia_spinosa,Tropical,27.9170010884603
2,2003,23.5,119.5,Onigocia,spinosa,Onigocia_spinosa,Tropical,27.9170010884603
23,2003,23.5,119.5,Onigocia,spinosa,Onigocia_spinosa,Tropical,27.9170010884603
2,2001,22.5,120.5,Ophichthus,apicalis,Ophichthus_apicalis,Tropical,29.082668304443366
2,2001,22.5,120.5,Ophichthus,apicalis,Ophichthus_apicalis,Tropical,29.082668304443366
1,2001,22.5,120.5,Ophichthus,urolophus,Ophichthus_urolophus,Tropical,29.082668304443366
1,2003,23.5,119.5,Orectolobus,japonicus,Orectolobus_japonicus,Tropical,27.9170010884603
1,2003,23.5,119.5,Paramonacanthus,pusillus,Paramonacanthus_pusillus,Tropical,27.9170010884603
1,2003,23.5,119.5,Paramonacanthus,sulcatus,Paramonacanthus_sulcatus,Tropical,27.9170010884603
2,2001,22.5,120.5,Paramyxine,sp,Paramyxine_sp,Tropical,29.082668304443366
2,2003,23.5,119.5,Parapercis,pulchella,Parapercis_pulchella,Tropical,27.9170010884603
7,2003,23.5,119.5,Parapercis,pulchella,Parapercis_pulchella,Tropical,27.9170010884603
1,2003,23.5,119.5,Parapercis,pulchella,Parapercis_pulchella,Tropical,27.9170010884603
6,2003,23.5,119.5,Parapercis,sexfasciata,Parapercis_sexfasciata,Tropical,27.9170010884603
2,2003,23.5,119.5,Parapercis,sexfasciata,Parapercis_sexfasciata,Tropical,27.9170010884603
1,2003,23.5,119.5,Parapercis,sexfasciata,Parapercis_sexfasciata,Tropical,27.9170010884603
1,2003,23.5,119.5,Parapercis,sexfasciata,Parapercis_sexfasciata,Tropical,27.9170010884603
4,2003,23.5,119.5,Parapercis,sexfasciata,Parapercis_sexfasciata,Tropical,27.9170010884603
4,2003,23.5,119.5,Parapristipoma,trilineatum,Parapristipoma_trilineatum,Tropical,27.9170010884603
1,2003,23.5,119.5,Parapristipoma,trilineatum,Parapristipoma_trilineatum,Tropical,27.9170010884603
8,2003,23.5,119.5,Parascolopsis,inermis,Parascolopsis_inermis,Tropical,27.9170010884603
2,2003,23.5,119.5,Parascolopsis,inermis,Parascolopsis_inermis,Tropical,27.9170010884603
3,2003,23.5,119.5,Parascolopsis,inermis,Parascolopsis_inermis,Tropical,27.9170010884603
7,2003,23.5,119.5,Parupeneus,chrysopleuron,Parupeneus_chrysopleuron,Tropical,27.9170010884603
30,2003,23.5,119.5,Parupeneus,chrysopleuron,Parupeneus_chrysopleuron,Tropical,27.9170010884603
6,2003,23.5,119.5,Parupeneus,chrysopleuron,Parupeneus_chrysopleuron,Tropical,27.9170010884603
1,2003,23.5,119.5,Parupeneus,cyclostomus,Parupeneus_cyclostomus,Tropical,27.9170010884603
24,2001,22.5,120.5,Pennahia,argentata,Pennahia_argentata,Tropical,29.082668304443366
1,2001,22.5,120.5,Peristedion,liorhynchus,Peristedion_liorhynchus,Tropical,29.082668304443366
2,2001,22.5,120.5,Peristedion,nierstraszi,Peristedion_nierstraszi,Tropical,29.082668304443366
22,2001,22.5,120.5,Photopectoralis,bindus,Photopectoralis_bindus,Tropical,29.082668304443366
1,2003,23.5,119.5,Photopectoralis,bindus,Photopectoralis_bindus,Tropical,27.9170010884603
1,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
1,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
1,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
8,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
9,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
1,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
3,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
31,2003,23.5,119.5,Platyrhina,sinensis,Platyrhina_sinensis,Tropical,27.9170010884603
2,2003,23.5,119.5,Pleuranacanthus,sceleratus,Pleuranacanthus_sceleratus,Tropical,27.9170010884603
2,2003,23.5,119.5,Pleuranacanthus,sceleratus,Pleuranacanthus_sceleratus,Tropical,27.9170010884603
44,2001,22.5,120.5,Polyipnus,sp,Polyipnus_sp,Tropical,29.082668304443366
2,2001,22.5,120.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,29.082668304443366
5,2001,22.5,120.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,29.082668304443366
1,2003,23.5,119.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,27.9170010884603
11,2003,23.5,119.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,27.9170010884603
25,2003,23.5,119.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,27.9170010884603
1,2003,23.5,119.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,27.9170010884603
5,2003,23.5,119.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,27.9170010884603
1,2003,23.5,119.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,27.9170010884603
1,2003,23.5,119.5,Priacanthus,macracanthus,Priacanthus_macracanthus,Tropical,27.9170010884603
22,2003,23.5,119.5,Proscyllium,habereri,Proscyllium_habereri,Tropical,27.9170010884603
4,2001,22.5,120.5,Psenopsis,anomala,Psenopsis_anomala,Tropical,29.082668304443366
5,2001,22.5,120.5,Psenopsis,anomala,Psenopsis_anomala,Tropical,29.082668304443366
